,Country,Dystopia Residual,Economy (GDP per Capita),Family,Freedom,Generosity,Happiness Rank,Happiness Score,Health (Life Expectancy),Region,Trust (Government Corruption),Year
0,Switzerland,2.5173799999999997,1.3965100000000001,1.34951,0.66557,0.29678000000000004,1,7.587000000000001,0.9414299999999999,Western Europe,0.41978000000000004,2015
1,Iceland,2.70201,1.3023200000000001,1.4022299999999999,0.6287699999999999,0.4363,2,7.561,0.94784,Western Europe,0.14145,2015
2,Denmark,2.4920400000000003,1.32548,1.36058,0.6493800000000001,0.34139,3,7.527,0.87464,Western Europe,0.48357,2015
3,Norway,2.4653099999999997,1.459,1.33095,0.66973,0.34699,4,7.522,0.88521,Western Europe,0.36503,2015
4,Canada,2.4517599999999997,1.32629,1.32261,0.63297,0.45811,5,7.4270000000000005,0.9056299999999999,North America,0.32957,2015
5,Finland,2.61955,1.29025,1.31826,0.64169,0.23351,6,7.406000000000001,0.8891100000000001,Western Europe,0.41372,2015
6,Netherlands,2.4657,1.32944,1.28017,0.6157600000000001,0.4761,7,7.377999999999999,0.89284,Western Europe,0.31814000000000003,2015
7,Sweden,2.3711900000000004,1.33171,1.2890700000000002,0.6598,0.36262,8,7.364,0.9108700000000001,Western Europe,0.43843999999999994,2015
8,New Zealand,2.26425,1.2501799999999998,1.3196700000000001,0.6393800000000001,0.47501000000000004,9,7.2860000000000005,0.9083700000000001,Australia and New Zealand,0.42922,2015
9,Australia,2.26646,1.33358,1.30923,0.6512399999999999,0.43562,10,7.284,0.93156,Australia and New Zealand,0.35636999999999996,2015
10,Israel,3.08854,1.2285700000000002,1.22393,0.41318999999999995,0.33171999999999996,11,7.278,0.9138700000000001,Middle East and Northern Africa,0.07785,2015
11,Costa Rica,3.17728,0.95578,1.2378799999999999,0.63376,0.25497,12,7.226,0.8602700000000001,Latin America and Caribbean,0.10583,2015
12,Austria,2.5332,1.33723,1.29704,0.62433,0.33088,13,7.2,0.8904200000000001,Western Europe,0.18675999999999998,2015
13,Mexico,3.6021400000000003,1.02054,0.91451,0.48181,0.14074,14,7.187,0.8144399999999999,Latin America and Caribbean,0.21311999999999998,2015
14,United States,2.51011,1.3945100000000001,1.24711,0.54604,0.40105,15,7.119,0.86179,North America,0.1589,2015
15,Brazil,3.26001,0.98124,1.2328700000000001,0.49049,0.14574,16,6.983,0.69702,Latin America and Caribbean,0.17521,2015
16,Luxembourg,1.9696099999999999,1.5639100000000001,1.21963,0.61583,0.28034000000000003,17,6.946000000000001,0.91894,Western Europe,0.37798000000000004,2015
17,Ireland,1.9757,1.33596,1.36948,0.6177699999999999,0.45901000000000003,18,6.94,0.89533,Western Europe,0.28703,2015
18,Belgium,2.4148400000000003,1.30782,1.28566,0.5845,0.2225,19,6.937,0.8966700000000001,Western Europe,0.2254,2015
19,United Arab Emirates,2.24743,1.42727,1.12575,0.64157,0.26428,20,6.901,0.80925,Middle East and Northern Africa,0.38583,2015
20,United Kingdom,1.9699400000000002,1.26637,1.28548,0.59625,0.51912,21,6.867000000000001,0.90943,Western Europe,0.32066999999999996,2015
21,Oman,2.4748900000000003,1.36011,1.08182,0.63274,0.21541999999999997,22,6.853,0.76276,Middle East and Northern Africa,0.32524000000000003,2015
22,Venezuela,3.1913099999999996,1.04424,1.25596,0.42908,0.058410000000000004,23,6.81,0.7205199999999999,Latin America and Caribbean,0.11069000000000001,2015
23,Singapore,1.8850099999999999,1.52186,1.02,0.54252,0.31105,24,6.797999999999999,1.02525,Southeastern Asia,0.4921,2015
24,Panama,2.84848,1.0635299999999999,1.1985,0.5421,0.24434,25,6.7860000000000005,0.79661,Latin America and Caribbean,0.0927,2015
25,Germany,2.1156900000000003,1.32792,1.2993700000000001,0.6147699999999999,0.28214,26,6.75,0.89186,Western Europe,0.21843,2015
26,Chile,2.67585,1.10715,1.12447,0.44132,0.33363000000000004,27,6.67,0.85857,Latin America and Caribbean,0.12869,2015
27,Qatar,1.55674,1.69042,1.0786,0.6404,0.32573,28,6.611000000000001,0.79733,Middle East and Northern Africa,0.52208,2015
28,France,2.21126,1.27778,1.2603799999999998,0.55011,0.12332,29,6.575,0.9457899999999999,Western Europe,0.20646,2015
29,Argentina,2.8360000000000003,1.05351,1.24823,0.44974,0.11450999999999999,30,6.574,0.78723,Latin America and Caribbean,0.08484,2015
30,Czech Republic,2.67782,1.17898,1.20643,0.46363999999999994,0.10686,31,6.505,0.84483,Central and Eastern Europe,0.02652,2015
31,Uruguay,2.3214200000000003,1.06166,1.2089,0.6036199999999999,0.2324,32,6.485,0.8116,Latin America and Caribbean,0.24558000000000002,2015
32,Colombia,2.85737,0.91861,1.2401799999999998,0.53466,0.18400999999999998,33,6.477,0.69077,Latin America and Caribbean,0.0512,2015
33,Thailand,2.31945,0.9669,1.26504,0.5566399999999999,0.5763,34,6.455,0.7385,Southeastern Asia,0.031869999999999996,2015
